id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1010029201472,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010029201472,,Quality Engineer,Bobsev Pvt Ltd,,2026-02-11,,direct_data,monthly,15000.0,30000.0,INR,True,,,sponsored,,"**SMT Line QC Inspector**

We are looking for a detail\-oriented **SMT Line Quality Control (QC) Inspector** to monitor and ensure the quality of PCB assemblies on the SMT production line. The candidate will be responsible for in\-process inspection, identifying defects, and ensuring compliance with quality standards to meet production and customer requirements.

Key Responsibilities

* In\-process inspection of SMT line (pre\-reflow \& post\-reflow)
* Visual inspection of PCBs as per IPC standards
* Identify, record, and report defects (soldering, component placement, polarity, etc.)
* Coordinate with production and engineering teams for corrective actions
* Ensure adherence to quality procedures and documentation

Basic Requirements

* Experience in SMT line QC / PCB assembly inspection
* Knowledge of SMT components, soldering defects, and IPC standards
* Ability to work on the production floor and shifts if required
* Basic documentation and reporting skills

Job Type: Full\-time

Pay: ₹15,000\.00 \- ₹30,000\.00 per month

Benefits:

* Health insurance
* Leave encashment
* Paid sick time
* Paid time off
* Provident Fund

Work Location: In person",,,,,,,,,,,,,,
gd-1010029363818,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010029363818,,Barcoder,CB AGROS & SHOPPING MALLS PVT LTD,Vijayawāda,2026-02-11,,direct_data,monthly,13000.0,13000.0,INR,False,,,organic,,,,,,,,,,,,,,,,
gd-1010027778771,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010027778771,,Graphic Designer & Video Editor,VASAVI SILKS PRIVATE LIMITED,Elūru,2026-02-10,,direct_data,monthly,10160.0,40000.0,INR,False,,,sponsored,,"Key Responsibilities

* Edit **Instagram Reels, YouTube Shorts, Facebook videos**, and promotional clips
* Convert raw store footage, reels, and photos into **high\-engagement videos**
* Add **music, text overlays, transitions, subtitles, effects** aligned with brand style
* Ensure videos match **festival campaigns, offers, launches, and clearance sales**
* Optimize videos for different platforms (Reels, Stories, Ads)
* Maintain **fast turnaround time** for daily / weekly content
* Work closely with marketing \& graphic design team

Skills Required

* Strong knowledge of **Premiere Pro / Final Cut Pro / DaVinci Resolve**
* Basic motion graphics knowledge (After Effects preferred)
* Understanding of **Instagram trends, hooks, and storytelling**
* Color correction \& audio sync basics
* Ability to follow brand guidelines

Preferred

* Experience in **fashion / saree / ethnic wear brands**
* Knowledge of trending reel formats \& viral content
* Telugu / regional content editing experience (added advantageCreative mindset with **business \& sales orientation**
* Ability to work in a **fast\-paced retail environment**
* Willingness to adapt to **festive calendars \& campaign schedules**
* Team player with good communication skills.

Job Type: Full\-time

Pay: ₹10,160\.11 \- ₹40,000\.00 per month

Benefits:

* Health insurance

Work Location: In person",,,,,,,,,,,,,,
gd-1010027736282,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010027736282,,Warehouse Operations Trainer,Millennium Software Solutions Pvt.Ltd,Guntūr,2026-02-10,,direct_data,monthly,12553.0,25453.0,INR,False,,,organic,,,,,,,,,,,,,,,,
gd-1010025561774,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010025561774,,Admission Manager,School Serv India Pvt. Ltd.,Vijayawāda,2026-02-07,,direct_data,monthly,60000.0,70000.0,INR,False,,,organic,,,,,,,,,,,,,,,,
gd-1010024064962,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010024064962,,PRT / TGT Mathematics Teacher,Trinity group of schools,Guntūr,2026-02-06,,direct_data,monthly,30005.0,70940.0,INR,False,,,sponsored,jobs.trinityschools@gmail.com,"**Trinity Group of Schools**

**Karimnagar \& Peddapalli, Telangana**

**Job Description:**Trinity Group of Schools is inviting applications from qualified and passionate Mathematics Teachers for PRT (Primary) and TGT (Upper Primary \& Secondary) levels for our campuses in Karimnagar and Peddapalli.

We are looking for educators who can make Mathematics conceptual, engaging, and enjoyable, while nurturing students’ logical thinking and problem\-solving skills.

**Key Responsibilities:**

Teach Mathematics effectively as per school curriculum

Plan and deliver engaging, student\-centric lessons

Assess students’ progress and provide constructive feedback

Maintain discipline and a positive classroom environment

Participate in academic planning, assessments, and school activities

Collaborate with colleagues and academic coordinators

**Eligibility Criteria:**

PRT:

Graduation with B.Ed / D.El.Ed

TGT:

Graduation/Post\-Graduation in Mathematics with B.Ed

Minimum 3 years of teaching experience preferred

Strong subject knowledge and communication skills

Freshers with excellent subject clarity may also apply

Skills Required:

Concept\-based teaching approach

Classroom management skills

Student\-friendly and professional attitude

Willingness to learn and grow with the institution

**How to Apply:**

**Interested candidates may apply through Indeed or send their updated resume mentioning “PRT Maths” or “TGT Maths” in the subject line to jobs.trinityschools@gmail.com**

Job Type: Full\-time

Pay: ₹30,004\.99 \- ₹70,940\.13 per month

Work Location: In person",,,,,,,,,,,,,,
gd-1010024184389,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010024184389,,Store Manager,Hidesign India Private Limited,Vijayawāda,2026-02-06,,direct_data,monthly,25000.0,32000.0,INR,False,,,organic,"mercy@hidesign.com, Imran@hidesign.com","Role: Store Manager

Store Manager Experience: Minimum 1\+ years of experience  
Location: PVP Mall Vijayawada  
Education : Any degree

What You’ll Do:

· Lead and manage store operations

· Boost sales \& deliver an exceptional customer experience

· Maintain stunning visual merchandising

· Train, motivate \& manage a dynamic team

· Plan stock, conduct audits \& prepare reports

What We’re Looking For:

· Strong communication skills

· Leadership \& team management skills

· Passion for fashion \& retail

· Organizational \& analytical abilities

Share your CV and Photo:  
mercy@hidesign.com – HR  
Imran@hidesign.com – Regional Head

Job Types: Full\-time, Permanent

Pay: ₹25,000\.00 \- ₹32,000\.00 per month

Benefits:

* Health insurance
* Provident Fund

Work Location: In person",,https://www.glassdoor.co.in/Overview/W-EI_IE509585.htm,https://media.glassdoor.com/sql/509585/hidesign-squarelogo-1399698423044.png,,,,,,,,,,,
gd-1010024194558,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010024194558,,CRM,Health Assist Insurance TPA Pvt. Ltd,India,2026-02-06,,direct_data,monthly,25000.0,30000.0,INR,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE4121707.htm,https://media.glassdoor.com/sql/4121707/safeway-insurance-tpa-squarelogo-1661253667557.png,,,,,,,,,,,
gd-1010024218952,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010024218952,,production shift incharge,VC NUTRI FOODS PRIVATE LIMITED,Nūzvīd,2026-02-06,,direct_data,monthly,14452.0,28000.0,INR,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE7229777.htm,https://media.glassdoor.com/sql/7229777/vc-nutri-foods-squarelogo-1656683256807.png,,,,,,,,,,,
gd-1010022804613,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010022804613,,Collection Officer,Aditya Birla Capital,Vijayawāda,2026-02-05,,direct_data,yearly,432000.0,507915.0,INR,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE513778.htm,https://media.glassdoor.com/sql/513778/aditya-birla-group-squarelogo-1562299743743.png,,,,,,,,,,,
gd-1010019659121,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010019659121,,MYP DP Economics and Business Management Teacher,Bloomingdale International School,Vijayawāda,2026-02-03,,direct_data,monthly,70000.0,100000.0,INR,False,,,sponsored,,"**Job Title:** MYP DP Economics and Business Management Teacher

**Location:** Vijayawada, Andhra Pradesh, India

**Experience Required:** Minimum 5 years

**Job Description:**  
Bloomingdale International School in Vijayawada is seeking an experienced and dedicated MYP/DP Economics and Business Management Teacher to join our dynamic faculty. The ideal candidate will have a minimum of 5 years of teaching experience and a strong background in teaching Economics and Business Management within the International Baccalaureate (IB) Middle Years Programme (MYP) and Diploma Programme (DP).

**Responsibilities:**

* Plan, prepare, and deliver high\-quality Economics and Business Management lessons that align with the IB MYP and DP frameworks.
* Foster a stimulating and inclusive classroom environment that encourages critical thinking and student engagement.
* Assess and monitor student progress, providing regular feedback and support to ensure academic success.
* Collaborate with colleagues to develop and implement interdisciplinary units and assessments.
* Communicate effectively with students, parents, and colleagues regarding student performance and development.
* Participate in professional development opportunities to remain current with IB curriculum standards and best practices.
* Contribute to the overall development and improvement of the school’s Economics and Business Management curriculum.

**Qualifications:**

* Minimum of 5 years of experience teaching Economics and Business Management in the IB MYP and/or DP.
* Strong understanding of the IB framework and its implementation in the classroom.
* Excellent organizational, communication, and interpersonal skills.
* Ability to work collaboratively with colleagues, students, and parents.
* Commitment to fostering a nurturing and supportive learning environment.

**Additional Skills:**

* Proven ability to inspire and motivate students to excel in Economics and Business Management.
* Experience with innovative teaching methods and curriculum development.
* Strong problem\-solving skills and the ability to adapt to various teaching scenarios.
* Proficiency in using educational technology and digital tools to enhance learning.
* Commitment to continuous professional development and staying updated with educational trends and best practices.
* Experience working in a multicultural and diverse educational setting.
* Ability to manage multiple tasks and priorities effectively in a dynamic environment.

**Benefits:**

* Competitive salary ranging from ₹70,000 to ₹1,00,000 per month.
* Professional development opportunities.
* A supportive and collaborative work environment.

Job Type: Full\-time

Ability to commute/relocate:

* Vijayawada, Andhra Pradesh: Reliably commute or willing to relocate with an employer\-provided relocation package (Preferred)

Education:

* Master's (Preferred)

Experience:

* total work: 4 years (Preferred)
* Teaching: 3 years (Preferred)

Work Location: In person",,https://www.glassdoor.co.in/Overview/W-EI_IE3321727.htm,https://media.glassdoor.com/sql/3321727/bloomingdale-international-school-squarelogo-1629391462717.png,,,,,,,,,,,
gd-1010019664638,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010019664638,,Early Years Teacher,Bloomingdale International School,Vijayawāda,2026-02-03,,direct_data,monthly,35000.0,35000.0,INR,False,,,sponsored,,"**Early Years Teacher – IB PYP \| Bloomingdale International School, Vijayawada**

**Location:** Vijayawada, Andhra Pradesh, India  
**Employment Type:** Full\-time  
**Salary:** Based on experience and institutional standards.  
**School Type:** IB Continuum School (PYP \| MYP \| DP)

**About Us**

Bloomingdale International School is an authorized IB World School committed to developing global citizens through inquiry, innovation, and international\-mindedness. Our Early Years Programme fosters creativity, independence, and a deep love for learning in a nurturing and stimulating environment.  
We are looking for passionate early childhood educators who aspire to make a lasting impact on young learners' lives.

Role Overview

We invite applications for the role of Early Years Teacher to join our dynamic and collaborative team. The ideal candidate will demonstrate a strong foundation in early childhood education, a clear understanding of the IB PYP framework, and a genuine passion for working with young children.

**Key Responsibilities**

* Design and deliver inquiry\-based, play\-centered learning experiences aligned with IB Primary Years Programme (PYP) standards.
* Establish and maintain a nurturing, inclusive, and safe classroom environment that promotes creativity, exploration, and positive social development.
* Integrate Jolly Phonics effectively into early literacy instruction to enhance language development.
* Plan and facilitate age\-appropriate activities supporting students’ cognitive, emotional, social, and physical growth.
* Collaborate with colleagues on interdisciplinary units and contribute to school\-wide learning initiatives.
* Foster strong relationships with parents through regular communication, progress updates, and participation in parent engagement activities.
* Document student learning, conduct assessments, and maintain accurate academic records as per school policies.
* Actively participate in school events, workshops, IB PYP professional development programs, and collaborative planning meetings.
* Support the mission and core values of Bloomingdale International School through commitment to high professional standards and continuous improvement.

**Qualifications and Skills**

* Bachelor’s degree in Early Childhood Education, Primary Education, or a related field (Master’s degree preferred).
* Minimum 2–3 years of teaching experience in Early Years within an IB PYP or Cambridge curriculum school setting.
* Strong working knowledge of Jolly Phonics methodology and its practical application in early years literacy instruction.
* Excellent verbal and written communication skills in English.
* Ability to create a stimulating learning environment that meets the diverse needs of students.
* Positive, professional demeanor with excellent organizational, time\-management, and collaboration skills.
* Certification in IB PYP workshops is highly desirable.
* Commitment to professional growth, reflective practice, and a child\-centered educational philosophy.

**Why Join Bloomingdale International School?**

* Opportunity to work in an IB Continuum School with a progressive, global curriculum.
* Professional development and IB\-recognized training programs.
* Supportive and collaborative work environment.
* State\-of\-the\-art campus and resources to enhance learning experiences.
* Opportunity to make a meaningful contribution to the holistic development of young learners.

**Apply now to become part of an inspiring educational journey at Bloomingdale International School.**

**Visit our website:** https://bloomingdale.edu.in

Job Type: Full\-time

Pay: From ₹35,000\.00 per month

Benefits:

* Paid sick time

Work Location: In person",,https://www.glassdoor.co.in/Overview/W-EI_IE3321727.htm,https://media.glassdoor.com/sql/3321727/bloomingdale-international-school-squarelogo-1629391462717.png,,,,,,,,,,,
gd-1010019666738,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010019666738,,Artificial Intelligence (AI) Teacher,Nalanda Vidyaniketan,Vijayawāda,2026-02-03,,direct_data,monthly,25000.0,25000.0,INR,False,,,sponsored,,"**Job Title: Artificial Intelligence (AI) Teacher**

**Location:** Nalanda Vidyaniketan, Vijayawada, Andhra Pradesh

**Job Type:** Full\-Time \| On\-Campus

**About the Institution**

Nalanda Vidyaniketan is a premier CBSE institution committed to shaping future\-ready learners. As we embrace NEP 2020 and 21st\-century skill integration, Artificial Intelligence has become a key subject in preparing students for a rapidly evolving digital world.

**Role Overview**

We are seeking a passionate and experienced **AI Teacher** to lead Artificial Intelligence as an elective or core subject for students in secondary and senior secondary grades (Classes 9–12\). The ideal candidate should possess strong technical knowledge, teaching experience, and the ability to make AI concepts engaging and accessible for school students.

**Key Responsibilities**

* **Curriculum Delivery:** Teach the CBSE\-prescribed AI syllabus (Class 9–12\), including foundational concepts in Machine Learning, Data Science, Natural Language Processing, and Neural Networks.
* **Practical Integration:** Conduct hands\-on sessions using Python, AI project kits, Jupyter Notebooks, and AI tools.
* **Project\-Based Learning:** Guide students in capstone projects, AI\-based innovations, and real\-world applications aligned with CBSE guidelines.
* **Assessment:** Evaluate learning outcomes through quizzes, assignments, and practical demonstrations.
* **Technology Integration:** Use AI platforms such as Google Teachable Machine, MIT Scratch (AI modules), and other visual tools for beginner\-friendly experiences.
* **Mentorship:** Inspire students to pursue AI\-related careers and support participation in hackathons, coding competitions, and innovation fairs.
* **Professional Development:** Continuously update skills in emerging AI technologies and tools.
* **Collaboration:** Work with Computer Science and Math departments to design interdisciplinary modules.

**Eligibility CriteriaEducation**

* Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Data Science, or a related field

**Experience**

* Minimum 2 years of teaching experience in AI, Computer Science, or related technologies
* Prior experience with CBSE/ICSE/IGCSE curriculum preferred

**Technical Skills**

* Programming Languages: Python (mandatory), familiarity with JavaScript or R is a plus
* Tools: Jupyter Notebook, Google Colab, AI simulators, Teachable Machine, etc.
* Concepts: Machine Learning, Data Visualization, Deep Learning (basic level), Chatbots, AI Ethics

**Selection Process**

* **Written Test:** Evaluate AI fundamentals and Python programming
* **Practical Round:** Hands\-on AI model demo or lesson using student\-friendly tools
* **Demo Class:** Pedagogical approach to explain AI to school students
* **Interview:** Curriculum alignment, communication, and innovation mindset

**Salary**

* Salary: Based on experience and institutional standards.

**Other Details**

* **Schedule:** Day shift
* **Location:** In\-person role at Vijayawada campus
* **Relocation:** Candidates willing to relocate will be given preference
* **Language:** Excellent English communication required

Job Type: Full\-time

Pay: From ₹25,000\.00 per month

Schedule:

* Day shift

Language:

* English (Preferred)

Work Location: In person",,https://www.glassdoor.co.in/Overview/W-EI_IE10125288.htm,,,,,,,,,,,,
